id	title	subject	date	p_from	p_to	body	date_tmp
frus1969-76v27d193	193 Telegram From the Embassy in Iran to the Department of State	None	1976-11-01 11:40:00	None	None	10874 Sub: Foreign Ministry Statement on Secretary Kissingers Remarks About Iranian                        Intelligence Personnel in the US1 On November 1 MFAs Fourth Political                        American Department head Hatef clarified for Embassy statement by MFA spokesman which appeared in late papers                        October 31 and morning papers November 1 re Secretary Kissingers response to question on what                        is being done about SAVAK shadowing of Iranian citizens in                            USOn October 26 The                                Washington Post published an article by Jack Anderson and Les                            Whitten entitled CIA Seen Abetting                            Foreign Agents which claimed that SAVAK agents hound and harass Iranians in the United                            States with the full knowledge and sometimes the assistance of the                                CIA The article quoted Atherton as confirming the presence of                                SAVAK agents on American soil                            who were seeking information about potential terrorists who may be                            among students who would return to Iran Other sources claimed that                                SAVAK was sending assassination                            squads into Europe and the United States to eliminate Iranian                            dissidents one of whom Reza Baraheni requested that the US Attorney                            General investigate See footnote 7 Document                                184 and Documents 199 and 201 Press stories carried UPI report on                        that subject and in particular lighted on quote from Secretary as follows:                        It is not correct that the US is aware that Iranian intelligence                        personnel are checking on individuals living in the US We are making                        inquiries and if it is correct we are asking that it be stoppedKissinger was                            responding to the first question asked at his press conference on                            October 27 at Hartford Connecticut For the transcript see the                            Department of State Bulletin November 22 1976                            p 6402 Hatef translated from remarks in Farsi made by MFA spokesman as follows: We are very friendly with the US                        Our relations are good and we have beneficial common interests But any                        action that they might take towards our representatives we would reciprocate                        toward their representatives3 Hatef confided that Iranian Embassy in Washington was instructed to bring                        this statement to the attention of the Department in a very friendly and                        polite fashion Any discussion of the statement by other Iranian Embassies                        around the world should be in the same fashion4 Comment: From discussions at Foreign Ministry Nov                        1 it seems clear Iranians are being careful not to make too much of this                        issue and hope it will disappear soon However the statement serves notice                        that any restraints imposed on or actions taken toward Iranian                        representatives in the US would be reciprocated hereHelms	19761101
frus1969-76v27d318	318 Telegram From the Interests Section in Baghdad to the Department of State	None	1976-11-02 09:45:00	None	None	1633 Subject: Insurgency in Kurdistan Ref: Baghdad 1421Telegram 1421 from Baghdad October 2 reported that                            the infiltration in northern Iraq by Kurds under Jalal Talabanis leadership was                            increasing via the Syrian border To restrict Kurdish movements Turkey                            and Iraq agreed to depopulate a border area of 25 kilometers on each                            side of the international boundary The Iraqi Government the report                            concluded was apprehensive over the possibility of US support for the                            Syrianbased insurgents Ibid D76037212921 USINT source reported that following                        information was obtained from his neighbor Major Salman Yasin the                        political guidance officer of the Arbil command and former political                        guidance officer of the Air Force2 The GOI believes that approximately six                        hundred Kurdish partisans controlled by Jalal                            Talabani have recently been infiltrated into Iraq from Syria                        After crossing the border these partisans operate in the Zakho area until                        they are prepared to risk moving through the recently depopulated zone along                        the Turkish border on their way to Galala and Haj Omran The center for                        Kurdish guerilla activity has now shifted from the Turkish border area                        further east to Haj Omran where the few remaining Talabani followers in                        Iran are able to join the partisans Kurdish partisans are not slipping                        across the sealed Turkish border nor are they coming from Iran3 There are no indications that Barzani supporters are involved in this                        insurgency Recruitment by Talabani group in Haj Omran probably assisted by                        resentment over GOI land reform program                        in Kurdistan In an attempt to break the power of influential tribal                        leaders in past year GOI has resettled                        Kurdish peasants in areas outside their traditional tribal domain4 The Iraqi Army has not suffered serious casualties and does not believe                        that the Kurds have been able to bring in heavy military equipment                        Nonetheless the army is now on full alert in the north and some soldiers                        and a substantial amount of military hardware have very recently been moved                        from the Syrian border to Kurdistan The command headquarters formerly                        located in Arbil has now been moved to Balala5 Iraqi Government is concerned that increased insurgent activity in areas                        away from Syrian border and particularly harsh weather in Kurdish mountains                        this winter could demand larger commitment of Iraqi resources than                        previously anticipated GOI however                        remains convinced that Kurdish guerilla warfare can be contained6 Comment: Apparently generous amnesty offer to Iraqi                        Kurds in Iran extension of deadline for amnesty and dispatch of Iraqi                        Internal Trade Minister Ali Hassan to Iran to request return of Iraqi                        Kurds may convince some potential partisans to hesitate before again                        resisting the Baghdad government Nonetheless Iraqis who have been willing                        to discuss subject feel that almost none of approximately 1000 Kurdish                        families who have returned under amnesty program have been allowed to stay                        in Kurdistan and Kurdish insurgency particularly near Zakho is rapidly                        picking up steam7 The Iraqi Government has not repeat not publicly admitted that any                        disturbances have taken place in the north If this regime is forced to                        publicly acknowledge this Syrianbased Kurdish insurgency the United                        States often accused in Iraqi press of collaboration with Syria in Lebanon                        may well be publicly condemned by GOI for                        instigating new Kurdish revoltWiley	19761102
frus1969-76v27d319	319 Telegram From the Interests Section in Baghdad to the Department of State and the Embassy in Iran	None	1976-11-06 07:33:00	None	None	1653 Subject: IraqiSoviet Relations Ref: Tehran 10827 NotalTelegram                            10827 from Tehran October 31 conveyed the Shahs view that the Iraqis                            were behaving as surrogates of the Soviets increasing their buildup of                            Russian arms and balking at efforts to resolve the Lebanese crisis                            Ibid D76040603551 If appropriate opportunity arises would appreciate it if Ambassador                            Helms would attempt to draw Shah                        out on specifics of how Iraq is acting as surrogate of Soviets As we see it                        from Baghdad Iraqi regime consists of group of prickly and hardened                        revolutionaries who accept socialist principles but act very much on the                        basis of their own perceptions of Iraqs national interests They are a                        difficult bunch to do business with and we doubt that they change their                        stripes when dealing with the Russians As USG has found out in past role of arms supplier does not in                        itself give supplying country control over policies of receiving state                        particularly in situations where receiving state perceives its own national                        interests to be at stake2 As far as security arrangements for Gulf are concerned there is                        undoubtedly a parallel interest between Iraq and the Soviet Union in that                        both countries for reasons of their own would prefer that Iran not become                        the dominant power in the area In other parts of the Middle East however                        as well as in Iraqs internal politics there is a definite and increasing                        divergence of interests between the two countries Soviet support for the                        Syrian regime Soviet approval of the Cairo summitApparent reference to the Arab League summit held in                            Cairo on October 25 Soviet acquiescence in the Syrian                        intervention in Lebanon and the Soviet call for a resumption of the Geneva                        Conference are all factors adding to the current tension between Baghdad and                        Moscow Iraqi regime has pushed hard for more Soviet support in its bitter                        dispute with the Syrian regime but has little to show for its effortsAccording to telegram 1634 from Baghdad November                            2 Iraq was convinced of the futility of the Arab Leagues diplomatic                            efforts at the Riyadh and Cairo summits in October to resolve the                            Lebanese crisis which granted Syria a mandate to maintain 30000 troops                            in Lebanon to keep the peace and forced PLO fighters out of central                            Lebanon Iraq considered this outcome a capitulation to                            imperialistZionist forces and a first step towards a sell out of Arab                            rights in Palestine National Archives RG 59 Central Foreign Policy Files D7604090529                        We have heard that Iraq was particularly disappointed that USSR did not give Iraq more help in its                        dispute with Syria over the Euphrates River waters3 Believe we should also remember that Baath Party is at least as much Arab                        nationalist as socialist We doubt very much that Iraq would be willing tool                        of Soviets on any issue which they perceive as touching on their Arabism                        Emphasis on Arab nationalism is one principal difference between Baath Party                        and Communist Party of Iraq Baath Party is very jealous of any potential                        rival power center and keeps Iraqi Communist Party under very close                        surveillance Death penalty is imposed on a Baath Party member who also                        joins Iraqi Communist Party4 Baathi regime is almost neurotically sensitive to foreign influence or                        presence and keeps at least as tight a watch on Russians and East Europeans                        in Iraq as they do on Westerners They also have vivid memories of past                        military occupations by Turkey and Great Britain and are particularly                        sensitive to any suggestions of a foreign military presence on their                        sacred soil This sensitivity applies to the Soviets as well as to the                        West5 Last but not least Iraqi economy is now becoming increasingly                        interrelated with Western Europe Japan and the United States Imports of                        goods and transfers of technology from these countries continue to climb as                        Iraqs economic ties with the USSR and Eastern Europe become relatively                        less important With the 1973 increase in oil prices Iraq began earning                        enough foreign exchange to meet its developmental requirements and no longer                        had to depend on economic assistance from the socialist bloc6 We can understand why Shah might see some advantage in attempting to                        convince USG that Iraq is hopeless tool of                        the Soviets but believe we should be careful not to accept this view in                        formulating our own policies On the contrary the growing tension between                        Iraq and the Soviet Union is something that we might be able to exploit to                        our advantage as future developments unfoldThe                            Embassy in Iran responded in telegram 11397 from Tehran November 15                            acknowledging that the Shah was too prone to accept any negative report                            about the Iraqis but pointing out that the fact that the Iraqis had                            repeatedly turned to the Soviet Union for political and economic support                            could not be disputed Ibid D7604250947Wiley	19761106
frus1969-76v27d320	320 Telegram From the Interests Section in Baghdad to the Department of State	None	1976-11-28 05:46:00	None	None	1745 Subject: USG and the Arab                            BoycottAlthough the Arab League had                            maintained an official boycott of Israeli companies and goods since                            1948 Arab countries in recent years had expanded the boycott to include                            US companies that did business with Israel or were owned by American                            Jews1 One of Iraqs most important private sector importers told me on November                        20 that he had observed a definite hardening of GOI position in recent weeks against USIraqi commercial                        relations While last summer he had been encouraged to explore possibilities                        for contracts with US firms and even visited the United States with the                        blessings of the GOI he is now being told                        to hold off on any business arrangements with US companies He attributed                        situation to growing GOI concern over                            USG action with respect to Arab                        boycott2 We have also been advised by another USINT source that Baath National Command is preparing a                        proposal to circulate to other Arab countries through the Iraqi Foreign                        Ministry calling for a boycott by all Arab states of United States goods and                        services if proposed US antiboycott legislation becomes lawCongress was considering legislation to block US                            companies from complying with the Arab boycott by denying them tax                            benefits According to source GOI is considering applying a boycott against USIraqi                        commercial relations but has decided first to sound out the other Arab                        states on the possibility of establishing a unified Arab position3 Decision of Bank of America to stop handling all letters of credit                        containing boycott of Israel language has also jolted Iraqis as Banks                        action came without warning and affected a number of transactions in                        midstream Oil Ministry also resents the holding up of shipment of spare                        parts for oil refinery unless oil refinerys administration agrees to change                        its usual boycott practices State 284765Dated November 19 National Archives RG 59 Central Foreign Policy Files D7604320704                        Iraqis view this as a form of blackmail as USG was not enforcing antiboycott measures when original                        contract for refinery equipment was signed4 GOI officials strongly resent statements                        in US media linking Arab boycott to racism They argue that boycott of                        Israel is not based on antiJewish racism among Arabs any more than US                        boycott of Cuba is based on antiCuban racism among Americans They dismiss                        the relatively few instances of                        documented antiJewish discrimination as mistakes by junior officials which                        have since been corrected and argue that parties hostile to the Arabs have                        seized on these few lapses and used them to misrepresent the essentially                        political thrust of the Arab boycott5 Comment: I believe we have already reached point in                        this boycott affair where our commercial ties with Iraq are being seriously                        jeopardized Iraqis are beginning to have doubts about reliability of US                        as trading partner if USG is as susceptible                        to Zionist pressure groups as it now appears to them to be Iraqis will be                        reluctant to enter into major project commitments or major purchase                        contracts requiring subsequent spare parts or servicing arrangements if                        there is danger that USG acting under                        domestic political pressure will change rules of the game after GOI has made major investments Since Iraq is                        about to launch into major development programs that would involve                        expenditure of 35 billion over next five years freezing out of US                        companies is obviously a matter of serious concern particularly when                        combined with potentially even more serious consequences for our commercial                        ties with Saudi Arabia and other Arab countries6 Much of the emotional heat that has made this subject so difficult for the                        Executive branch to deal with has been caused by the widespread confusion in                        the United States media on the true nature of the boycott There seems to be                        a general assumption in the United States that Arab actions are based on                        racism and that it is therefore immoral for the USG to permit private firms to comply It also seems to be                        widely assumed that selling goods to Israel per se is grounds for                        boycotting an American firm In fact the boycott is more limited in scope                        and is different in its essential purposes than it is generally portrayed                        Its thrust is political and like most political issues the associated                        moral considerations could be endlessly debated What cannot be debated is                        the fact that USG reaction to the boycott                        may do serious damage to the US economy7 While not underestimating the PR problems                        included in broaching this emotional issue to the general public I believe                        that the situation has now reached the point where a well planned public                        educational campaign by the Executive branch is essential to prevent serious                        damage to fundamental US national interests While there are limits to the                        extent to which the State Department can engage in public education                        activities I believe that an effort by the P Bureau to convey to the public                        a somewhat more balanced account of the boycott situation could pay off                        handsomely in limiting the damage to US interests If nothing else such                        an effort would have the effect of focusing debate on the true issues rather                        than on the irrelevancies that have so far marked most of the public                        discussion of this complex issueWiley	19761128
frus1969-76v27d321	321 Telegram From the Interests Section in Baghdad to the Department of State	None	1976-11-30 06:31:00	None	None	1771 NEA Distribution Only For Draper from                        Wiley Subj: Terrorist Activities Supported by Iraq Ref: State 286710In telegram 286710 to Baghdad November 23                                NEA requested a list of potential                            pressure points that the United States could use to urge Iraq to cease                            or curtail support of terrorism Ibid D76043508401 Reftel sent routine and received November 292 You have by now received Baghdad 1749According to telegram 1749 from Baghdad November 28 the Iraqis denied                            complicity in the terrorist attack on the Intercontinental Hotel in                            Amman Jordan but admitted that they gave refuge to Palestinian groups                            and permitted them to carry out training activities in Iraq Ibid                            D7604410008 which is on subject of GOI support for terrorism3 In general I believe USG has very                        limited leverage that could be used unilaterally on GOI and that the costs of using the little that we have would                        be high in terms of US interests On other hand if we could act in                        concert with West Germany Japan and perhaps other NATO allies as well as Saudi Arabia Egypt                        and other Arab countries Iraqis might be forced to modify their support for                        terrorism4 Major pressure point is Iraqi desire for Western technology Most                        important sources are now West Germany and Japan with United States United                        Kingdom and France next in importance Threat to cut off US technology                        alone would carry little weight since almost everything GOI needs can be obtained from other sources                        In fact I believe GOI is already                        considering a sharp reduction in commercial relations with the United States                        in response to USGs antiboycott                            actionsSee Document                                320 The Interests Section reported in telegram 68 from                            Baghdad January 11 1977 that in response to publicity on official                            US antiboycott activity the Iraqi Government was hardening its                            position on the Arab boycott of Israel National Archives RG 59 Central Foreign Policy Files                            D7700100181 Principal result of USG unilateral action would be to freeze US companies out of                        Iraqs 35 billion development program and further reduce the already very                        limited US presence in Iraq On other hand if Iraq were faced with the                        prospect of losing Japanese West German and US technology and possibly                        that of UK and France as well this would be                        a very serious matter for GOI They would                        then be forced to turn once again to Soviet and Eastern European sources for                        their technology which the Iraqis consider to be definitely inferior to                        that they could obtain from the                        West To put these considerations into context in 1975 West German exports                        to Iraq were approximately 1 billion Japan 700 million and UK US and France all in range of 300400                        million Obviously Iraqi market is very important to both West Germany and                        Japan but these governments might react positively to argument that threat                        of terrorism could be reduced without loss of markets if Western nations act                        in concert5 Despite their frequently inconsistent policies I believe that Iraqi                        regime is concerned about its political isolation particularly among other                        Arab and thirdworld countries If other Arab and thirdworld countries were                        to reduce their political contacts with the GOI because of their support for terrorism this too would have                        an impact Even in the case of Western countries Iraqi leadership hungers                        for greater international recognition and would like to be consulted more                        often by Western political leaders It is even possible that consultations                        on terrorism by Western nations would be sufficiently flattering to their                        ego that they would respond by some reduction in their support for terrorist                        activity In this connection it should be noted that official position on                        terrorism is that they are opposed to all terrorist acts except those                        committed within the boundaries of Israel Again the key to this approach                        would be concerted action among Western nations A unilateral approach by                            USG would carry little weight A threat                        to reduce our already limited political contacts would have only marginal                        effect in Baghdad but could have serious impact on our own capability to                        support US commercial interests and to acquire information and                        understanding of what goes on in Iraq6 Another pressure point that might have some weight in Baghdad would be a                        joint approach by a majority of the Arab states including Egypt and Saudi                        Arabia Although they have a strange way of showing it the Iraqi leadership                        is sensitive to its standing among its Arab brothers If we could bring                        about a joint dmarche to the GOI by a                        substantial number of the other Arab states perhaps led by Saudi Arabia and                        Egypt this would have an impact Unfortunately none of the other Arab                        states have demonstrated much backbone on this issue even when they                        themselves are the victims of terrorism7 Believe that reconvening of Geneva Conference will be particularly                        dangerous time as rejectionist elements may then attempt to commit                        atrocities to disrupt conference At that time we might consider organizing                        a coordinated approach to GOI by UN Secretary General the cochairmen of the                        Conference and the participants Although Iraqis are officially opposed to                        Conference they are now taking a pragmatic waitandsee attitude with                        Egyptians who discussed Geneva Conference with Iraqis during VP Mubaraks                        recent visit to Baghdad Iraqi regime might be flattered enough by a                        suitably worded highlevel approach                        in the name of the UN that they would be                        willing to take steps to curb Palestinian extremists now in Iraq8 I would recommend against a unilateral USG protest to GOI Regime                        might look upon such a development as an opportunity to score some                        propaganda points by publishing USG protest                        as evidence of GOI steadfastness in Arab                        and antiimperialist causes9 In dealing with GOI on this issue                        believe it important to keep in mind that Iraqi leadership achieved their                        present eminence through repeated use of terrorist techniques and terrorism                        to them seems a normal part of the political process Approaches based on                        moral or humanitarian considerations would have little impact although                        regime can be pragmatic when they perceive an Iraqi national internal                        interest to be involved In this case best pressure points as noted above                        are regimes desire for Western technology and its concern over Iraqs                        political isolationWiley	19761130
frus1969-76v28d220	220 Telegram From the Mission in Geneva to the Department of State	None	1976-11-03 17:32:00	None	None	8710 For the Secretary from Schaufele Subject: Rhodesian Conference: British Game                            Plan1 My consultations with Richard                            lead me to conclude that the British plan at Geneva for the present                            consists of confirming a date of independence and majority rule and then                            moving to the question of an interim government With respect to the                            date for independence Richard                            plans to attach to a confirmed date specific conditions These may                            include an assurance no final date will be settled until the                            constitution is drafted2 Richard will avoid any                            discussion of the franchise and work to make sure that question is                            raised only after the interim government is formed He will hold out                            until a much later date Geneva consideration of Britains role during                            the period of transition3 Once the independence date issue is resolved the British will resist                            further African suggestions that preconditions be set and undertake                            immediate discussion of the structure and functions of an interim                            government As I noted in Genevas 8688In                                telegram 8688 from Geneva November 3 Schaufele reported on his meeting with Richard Duff and Grennan to discuss the results of                                the interdelegation meeting on November 2 Ford Library National Security                                Adviser Presidential Country Files for Europe and Canada Box 14                                SwitzerlandState Department Telegrams To SecStateNodis 12 the British have                            asked each delegation to submit proposals only Muzorewa has done so and his is not a                            satisfactory discussion paper These proposals developed by each                            delegation will be circulated to the other delegations and comments will                            be solicited4 Richard wishes to maintain his                            tactical flexibility He will pursue the negotiations in a variety of                            fora Depending on the situation he will meet privately with delegation                            principals and their key subordinates He will reinforce his meetings                            with the nationalists through informal sessions with the observers Once                            consensus on a given issue has emerged he plans to hold confidential                            interdelegation meetings like the one he chaired yesterday ie                            without observers and with limited number of advisors for each                            delegation Richard will convene                            more formal plenary sessions only when agreement has been achieved and                            when the needs of public perception so dictate This method of operations conforms to Richards informal personal style He                            is at greater ease and more effective in this setting The method has                            many advantagesprincipally the discouragement of African public                            rhetoric5 Tactically Richard will open                            discussion of specific items and if a consensus does not develop will                            move on to new issues returning to the unresolved ones at a later                            point6 Even though the British have refused to be nailed to the five points                            and the Africans have rejected them categorically the five points have                            emerged as the conferences informal agenda The first                            pointindependence and majority ruleis under consideration now The                            second point has been met The framework of point three has effectively                            been accepted by all delegations as the basis for the next round of                            negotiations7 We will keep you informed of any changes in Richards game plan He has requested                            no American intervention beyond asking us to encourage Smith to show                            greater flexibility on the independence date issue He greatly                            appreciated my approaches to SmithCatto	19761103
frus1969-76v28d221	221 Telegram From the Mission in Geneva to the Department of State	None	1976-11-12 18:21:00	None	None	9051Dept pass London For Schaufele from Wisner Subject Rhodesia Conference: Looking Ahead to                            the Interim Government Negotiations1 If as British hope the date of independence issue can be resolved or                            finessed and this is not certain the conference will then move on to                            discussing the structure and functions of the interim government Some                            African delegates continue to believe that once the independence hurdle                            is overcome the remaining path toward an interim government will be                            relatively smooth This is wishful thinking Future substantive and                            symbolic issues will provide a continuing source of pitfalls which can be skirted only by skillful                            negotiating firm British chairmanship greater flexibility than the                            participants have evidenced to date a more constructive front line                            role and almost certainly increased American involvement2 To the present the conference principals and their immediate advisors                            have focussed their attention almost exclusively on the date of                            independence issue Though no formal positions have emerged on other                            even more thorny topics there has been considerable corridor talk and                            speculation some of which has come to our attention No positions have                            changed radically Nevertheless interesting nuances are appearing as                            simplistic rhetoric is confronted by an exceedingly complex reality3 The Africans original intent to engage in serious negotiations as                            expressed in the opening speeches of the four delegation leaders                            remains firm though Mugabe may                            be having difficulty holding this line within his own delegation Their                            insistence on a true transfer of power to the African majority during                            the interim period and consequently their opposition to continued                            Rhodesian control of the sensitive ministries including Defense Law                            and Order Finance and Information also remain fixed4 The British and Rhodesians appear to be hewing closely to their                            original game plans The British are still intent on reaching an                            agreement as close to Annex C as possible though their original                            insistence on avoiding a substantive role during the interim period is                            wavering The Rhodesians are sticking like adhesive tape to the five                            points and have not developed any wellthoughtout fallback positions                            They prefer to let the British force the nationalists to show their                            cards before revealing their own position further There is also the                            lingering hope among the Rhodesians that the nationalists may fail in                            their attempts to forge a unified position and begin a dissolution                            process which might prove favorable to further independent initiatives                            by the Smith regime5 The obervers have not tried or been able to exercise much control over                            the nationalist delegations As a group they seem to often be operating                            without instructions perhaps at cross purposes and with little                            coordination Some certainly Mogwe and Chona                            stand by their original intention to guide the conference into                            discussions of matters of principles and institutions but in                            confidence have dejectedly admitted that it will be impossible to avoid                            issues of personality and more troubling specifics6 Among the issues which are bubbling to the surface and offer                            significant potential for further fouling the conferences progress are                            the following:A Structure of the interim governmentthe Rhodesians insistence on a                            two tier interim government in strict accordance with point three continues to elicit a negative                            response from the African delegations However no consensus of an                            alternative structure has emerged from the African side As Salim the                            Tanzanian representative told Ivor                                Richard on November 11 the nationalists and observers                            want a one tier government The Africans want a black majority Council                            of Ministers to have all real authority and they see no role for the                            Rhodesia Front There are indications that while the Africans continue                            to oppose the Council of State concept as enunciated by Smith with its                            implicit white veto the idea of a body above the Cabinet to referee                            what will almost surely be fierce blackwhite and blackblack rivalries                            may prove more acceptable as negotiations wear on Chona has privately floated the idea                            that the Council of State could serve as an advisory body to a British                            Governor General The idea has not taken hold but may be resuscitated in                            another form As the British delegations legal advisorThe British delegations legal adviser was                                    Henry Steel                            points out there is precedent for a privy council in colonial                            governments of transitionB British responsibilityintertwined with the issue of the structure of                            the government is the role the British will play in the interim                            government Though the nationalist delegations made clear even before                            the start of the conference their insistence upon Britain resuming its                            colonial responsibilities in Rhodesia it is probable that they had                            little more in mind for the British Governor General than acting as a                            legitimizing and protective authority It is possible that the                            nationalists might be shifting slightly on this issue as their own                            internal differences become manifest Their position is still undefined                            but a growing desire to use the British as a guarantor against Smiths                            usurpation of power mandates at least theoretically a more substantive                            role in the political and security process Nyerere and Kaunda have been in continual contact with Callaghan over the past ten days and                            have urged a larger and more specific role for the British during the                            transitional period including according to Nyereres Nov 10 Martha Honey interview the holding of                            specific portfoliosDefense and External Affairs The utility of a                            meaningful British presence to the nationalists for protection from one                            another is also obviously an important factor more so of course to                                Sithole and Muzorewa than to Nkomo and Mugabe These sentiments are counterbalanced by an                            unspecified uneasiness about possible British recolonization of                            Rhodesia For their part the Rhodesian delegation has made it clear                            that they see no substantive role for Britain during the interim                            government they claim to seek a solution which permits Rhodesiansblack                            and whiteto work out their future in Rhodesia free from foreign                            influence Gaylard said the other                            day that Rhodesian officers would simply not take orders from a British                                appointee whether he is a                            Governor General or an armed forces commander He argued that Rhodesian                            Front members will continue to exercise this power during the interim                            government including the retention of the sensitive security protfolios                            Even making allowance for rhetoric Gaylards analysis reflects the current state of                            Rhodesian thinkingC Military: Beyond their insistence that the crucial security portfolios                            be in black hands and that ZIPA take                            control of the security apparatus during the transitional period there                            has been no further suggestions from the African side as to how this                            might be accomplished The Rhodesians are not even discussing the                            matter Gaylard darkly assumes                            terrorists will be disarmed as they reenter Rhodesia Whether the                            issue of how the respective armed forces will be dealt with formally                            surfaces at the conference or notand in the interest of the                            conferences success it should notthe possibility of internecine                            fighting between the liberation armies obviously weighs heavily upon                            some of the nationalists and observers who are haunted by visions of                            another Angola Despite his political motives Nkomo should be taken seriously when he                            says he is trying to reconstitute ZIPA                            in order to avoid civil war Implausible as it might appear at first                            glance there is a possibility that for reasons of their own each of                            the nationalist leaders might in addition to looking toward Britain for                            assistance in this field also modify their attitude toward the                            Rhodesian army to the point where they might welcome it playing a role                            in keeping the peace One perceptive onlooker here asserts that the                            initial rhetorical vituperation against the Rhodesian military is                            softening Even elements in Mugabes delegation have admitted privately to others                            that order must be maintained by a disciplined security force as the                            period of transition begins At least one ZANU Mugabe                            faction delegation member reports he has less of a problem with white                            security forces than he would have with Smiths black units African                            thoughts on this topic are of course sitll highly illdefined and                            speculative but as the conference progresses more attention will be                            given to how to keep the two black armies and the one white army from                            each others throats during the interim period A precarious balancing                            act of the three with some judicious juggling by the Britishperhaps                            backed by the Commonwealthmay eventually prove to be a solution No                            specific African proposal on how to integrate liberation forces and                            divide security responsibility with the Europeans has surfaced since                                Nkomo mentioned the                            possibility of creating a third security ministryD The franchisedespite Muzorewas early attempt to inject the issue of elections                            into the conference no open discussion of the franchise problem has                            taken place here It appears that even Muzorewa has backed off his original plan at least for                            the present and the other nationalist leaders are more than content to continue ducking the issue                            The Rhodesians have been warned to avoid bringing up the topic in Geneva                            and may indeed not do so There seems to have developed a fairly clear                            consensus that the composition of the electorate is more appropriate                            topic for a constitutional conference organized by the interim                            government This consensus could however crumble if one or more of the                            delegations sense a draft in the structuring of the interim government                            which they view as inimical to their overall strategy and interestsE Cutting the piethere are of course two conferences going on in                            Geneva The more visible one involves the Africans British and                            Rhodesians in an attempt to bring majority rule to Rhodesia The less                            visible but perhaps equally important conference involves the black                            battle for leadership of an independent Zimbabwe The conflicting                            ambitions of the four African leaders is reflected in every tactical                            decision they make Though it would undoubtedly be to the conferences                            benefit to avoid discussion in Geneva of questions of who will assume                            specific powers in the interim government and particularly who will be                            Prime Minister it is clear that the African leaders are not so                            inclined Each of them continues to view himself as Zimbabwes logical                            first Prime Minister and their delegations agree Proposals such as the                            one which would have an apolitical black Rhodesian serve as Prime                            Minister during the interim government fall like lead balloons for the                            moment The Rhodesians seek to avoid making a tough choice by claiming                            that they cannot think of anyone who might fill the billthough they                            wish to split Nkomo and Mugabe the nationalists contend that                            such an individual would not have sufficient authority to lead the                            country during the difficult transitional period One observer                            Botswanan Foreign Minister Mogwe                            suggests that the British could fulfill the function by designating the                            Prime Minister and by dividing the other portfolios equitably among the                            four groups However he offered no hope that the front line states or                            more importantly the nationalists would guarantee to go along with the                            British decision In this issue as in all others the nationalists seem                            to be looking to the British to solve those questions they think are                            impossible to resolveF Rhodesia Front rolewhile the Africans are jockeying amongst                            themselves for position the Rhodesian delegation remains firmly                            committed to propounding its own central role in the interim government                            As Gaylard expressed this                            recently the blacks must realize that the whites not the British                            control power in Rhodesia and that the Rhodesia Front will continue to                            exercise that control during the transitional period and implicitly in                            a measurable way in an independent Zimbabwe This belief in their own                            centrality has no doubt been increased by their military successes in                            Mozambique and what is perceived to be an encouraging shift in Western and in particular South                            African public and governmental opinion toward their favor since the                            conferences inception For their part the Africans remain implacably                            distrustful of Smith and his cohort and can be expected to dig their                            heels in deeply to avoid giving the Rhodesia Front any meaningful power                            during and beyond the transitional period Their position may be best                            reflected in Nyereres November                            10 statement in Dar that the transitional government should be a                            government of national unity a government of consensus of Africans and                            whites who are acceptable to the majority of people    If I were a                            Rhodesian nationalist I would not want a racist to be in my government                            I would not mind including whites in an interim government as long as                            they had all along been against Smith and what Smith stands for7 The above enumerated pitfalls are only a few of several that could                            debilitate the conference Even wider and more fundamental cleavages                            separate the basic outlooks of the white and black delegates One factor                            favorable to the conferences ultimate success however is a real                            appreciation on the part of most of the participants and particularly                            the old line nationalist political leaders that this is their last best                            chance for a negotiated settlement in which their own political                            aspirations might be served Nothing that has happened since the outset                            of the conference has changed that perception8 To date the United States role at the conference has been generally                            low key and suitable to the nature of the discussions which have taken                            place However given the fact that all of the participants for                            disparate reasons view the United States as a critical player in the                            negotiations it is inevitable that pressure will build for more active                            participation on our part Botswanas Archie                                Mogwe noted recently in bemused disappointment that we                            have religiously avoided involvement in the independence date dispute                            Every delegation knows however that we believe the principal purpose                            of the conference is the organization of a government of transition                            Assuming the date of independence problem is solved the conference will                            have overcome two major hurdles and avoided deadlock and breakdown As a                            result the timing and manner of our involvement will have to be                            carefully judged The British including Richard continue to be                            extremely sensitive to any hint we are trying to second guess British                            management We have an invitation to join Richard in planning a                            negotiating strategy to deal with the interim government and we should                            accept Tactical decisions concerning our engagement in the other issues                            of interim government can only be made as the conferences proceedings                            bring problems to the foreAbrams	19761112
